video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=3ab-O5aO_CA&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@ORGovDHS,Oregon Department of Human Services (ODHS),Dismantling Poverty in Washington to Oregon Poverty Relief Task Force,80 weergaven,1 jaar geleden,Presentation from Washington's Dismantle Poverty in WA ( https://dismantlepovertyinwa.com/about-the-work-group )from Dr. Lori ...,2024-01-28 00:46:09.409234
/watch?v=japb-MXPm3o&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@PostLive,Washington Post Live,Desmond on how the effects of poverty differ by race,171 weergaven,9 maanden geleden,It's impossible to write a book about American poverty without also writing a book about American racism. They are just connected ...,2024-01-28 00:46:09.412534
/watch?v=BIhUhHbTJ_s&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@VICE,VICE,Prohibition in Northern Canada: VICE INTL (Canada),"2,4 mln. weergaven",9 jaar geleden,"Officially founded in 1999, Nunavut is the youngest territory in Canada. It's only been two generations since Canada's stewardship ...",2024-01-28 00:46:09.417538
/watch?v=Nwj_Trv4-Os&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@abodetidings8392,ABODE TIDINGS,"Place to avoid when moving to Australia,  Poverty aboriginal people in Australia  Darwin, Northern T","3,2K weergaven",3 jaar geleden,"aboriginal people in Darwin, Northern Territory Australia, this is unusual place in whole world this is located in Australia.",2024-01-28 00:46:09.420847
/watch?v=NxE1p0X3W2w&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@CBSMornings,CBS Mornings,Lack of housing in Seattle forces some families to live in cars,654K weergaven,3 jaar geleden,"Aaron, who lives with his wife Silje and their two children in a parking lot outside of Seattle, begins his day in darkness, making a ...",2024-01-28 00:46:09.423747
/watch?v=nCTmRTX5jtc&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@sdcmilwaukee,sdcmilwaukee,2022 Summit on Poverty - Opening Ceremony,67 weergaven,10 maanden geleden,"Summit on Poverty Opening Ceremony presented by Oneida Nation member, educator and lecturer, Mark Denning.",2024-01-28 00:46:09.426516
/watch?v=vGqoxJCTTxg&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@aljazeeraenglish,Al Jazeera English,One in seven US seniors live in poverty,242K weergaven,11 jaar geleden,"The elderly will soon make up a third of the population in more than 60 countries, according to the UN. But even in wealthy nations ...",2024-01-28 00:46:09.429607
/watch?v=95we_UcQh2I&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@AmanpourandCompany,Amanpour and Company,Matthew Desmond: The Privileged are Complicit in America’s Poverty Crisis | Amanpour and Company,143K weergaven,9 maanden geleden,The United States -- the richest country in the world -- has a higher rate of poverty than any other advanced democracy. Pulitzer ...,2024-01-28 00:46:09.433872
/watch?v=QMAQwWJYQtI&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@abc7news,ABC7 News Bay Area,Mile-long RV encampment symbolizes growing housing crisis in Bay Area,805K weergaven,7 maanden geleden,#RV #homeless #housing #homelessness #rvencampment #marincounty #abc7news.,2024-01-28 00:46:09.437412
/watch?v=jjE5mBXDKIU&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@ajplus,AJ+,I Make $20/Hour And I'm Still Homeless,"1,2 mln. weergaven",1 jaar geleden,"Jackson Hole, Wyoming, is a playground for billionaires. Teton County, where Jackson Hole is located, is the wealthiest county in ...",2024-01-28 00:46:09.443296
