video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ezHfVgSh76g&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Between a rock and a hard place: WSDOT's controversial approach to homelessness,65K weergaven,2 weken geleden,Boulders placed on the shoulder of I-5 in Olympia send an undeniable message: the unhoused are not welcome here. Subscribe ...,2024-01-27 23:46:04.177536
/watch?v=AoxJM_CErkc&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@KTLA5,KTLA 5,Homeless encampments growing next to Beverly Hills,534K weergaven,9 maanden geleden,Some Beverly Hills residents and business owners are expressing concern for their safety as homeless encampments expand ...,2024-01-27 23:46:04.178894
/shorts/YQJhnOKdD0I,/@komonews,KOMO News,Homeless encampment near Seattle school,"3,8K weergaven",10 maanden geleden,Parents from the John Stanford International School in north Seattle held a demonstration over I-5 Friday morning to demand the ...,2024-01-27 23:46:04.180286
/watch?v=QMAQwWJYQtI&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@abc7news,ABC7 News Bay Area,Mile-long RV encampment symbolizes growing housing crisis in Bay Area,805K weergaven,7 maanden geleden,#RV #homeless #housing #homelessness #rvencampment #marincounty #abc7news.,2024-01-27 23:46:04.181660
/watch?v=v3x_3_LpKj0&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@discoveryinstitute,Discovery Institute,Nearly 40 Homeless People Kicked Out of Seattle Hotel after Numerous Violations,4K weergaven,11 maanden geleden,"Through a free voucher program, King County Regional Homeless Authority places homeless people in hotels. Hotel residents in ...",2024-01-27 23:46:04.182924
/watch?v=sCzBi-TLKu0&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@mitalumni,MIT Alumni Association,Tiny homes offer innovative solution to homelessness in Seattle,79K weergaven,5 jaar geleden,"Sharon Lee MArch '81, MCP '81, founding executive director of the Low Income Housing Institute (LIHI), builds tiny house villages ...",2024-01-27 23:46:04.184119
/watch?v=ibUk7TW2Bp8&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@KING5Seattle,KING 5 Seattle,"White House launches federal initiative to address homelessness crisis in Seattle, other cities","6,1K weergaven",8 maanden geleden,The White House and U.S. Interagency Council on Homelessness (USICH) launched Thursday a first-of-its-kind initiative to ...,2024-01-27 23:46:04.186018
/watch?v=kHRhCNxpC7g&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Community baffled by inflatable pool at homeless encampment | FOX 13 Seattle,345K weergaven,6 maanden geleden,There's a heated discussion happening in the Highland Park neighborhood where someone inflated and filled a swimming pool ...,2024-01-27 23:46:04.191362
/watch?v=rnbpLcH59lI&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@VICENews,VICE News,Living Rent-Free Next to Millionaires,"4,8 mln. weergaven",2 jaar geleden,"Just off the shore of one of the nation's most expensive zip codes, a community of free-spirited boat dwellers have found a way to ...",2024-01-27 23:46:04.193347
/watch?v=LzbU-9L1WS4&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@VICENews,VICE News,Living Homeless in the Desert,2 mln. weergaven,1 jaar geleden,LA County's housing crisis has gotten so severe that hundreds of people have felt they have no choice but to make camp in ...,2024-01-27 23:46:04.195026
